"item_code","item","unit","item_group","item_category","item_subcategory"
1158,"NASI AYAM","sepinggan","MAKANAN SIAP MASAK","NASI","NASI AYAM"
1159,"NASI LEMAK (BERBUNGKUS)","sebungkus","MAKANAN SIAP MASAK","NASI","NASI LEMAK"
1160,"NASI LEMAK (TIDAK BERBUNGKUS)","sepinggan","MAKANAN SIAP MASAK","NASI","NASI LEMAK"
1161,"NASI + SAYUR + IKAN","sepinggan","MAKANAN SIAP MASAK","NASI","NASI CAMPUR"
1162,"NASI + SAYUR + AYAM","sepinggan","MAKANAN SIAP MASAK","NASI","NASI CAMPUR"
1163,"NASI + SAYUR + DAGING","sepinggan","MAKANAN SIAP MASAK","NASI","NASI CAMPUR"
1164,"NASI + SAYUR + SOTONG","sepinggan","MAKANAN SIAP MASAK","NASI","NASI CAMPUR"
1165,"NASI + SAYUR + UDANG","sepinggan","MAKANAN SIAP MASAK","NASI","NASI CAMPUR"
1167,"NASI GORENG KAMPUNG","sepinggan","MAKANAN SIAP MASAK","NASI","NASI GORENG"
1168,"NASI GORENG PAPRIK","sepinggan","MAKANAN SIAP MASAK","NASI","NASI GORENG"
1169,"NASI GORENG CINA","sepinggan","MAKANAN SIAP MASAK","NASI","NASI GORENG"
1170,"NASI GORENG PATAYA","sepinggan","MAKANAN SIAP MASAK","NASI","NASI GORENG"
1172,"NASI GORENG CILI PADI","sepinggan","MAKANAN SIAP MASAK","NASI","NASI GORENG"
1173,"NASI GORENG DAGING MERAH","sepinggan","MAKANAN SIAP MASAK","NASI","NASI GORENG"
1174,"NASI GORENG USA","sepinggan","MAKANAN SIAP MASAK","NASI","NASI GORENG"
1175,"NASI GORENG AYAM","sepinggan","MAKANAN SIAP MASAK","NASI","NASI GORENG"
1183,"BIHUN GORENG","sepinggan","MAKANAN SIAP MASAK","MEE / BIHUN / KUEY TEOW","BIHUN"
1184,"BIHUN HAILAM","sepinggan","MAKANAN SIAP MASAK","MEE / BIHUN / KUEY TEOW","BIHUN"
1186,"BIHUN TOMYAM","semangkuk","MAKANAN SIAP MASAK","MEE / BIHUN / KUEY TEOW","BIHUN"
1187,"BIHUN BANDUNG","semangkuk","MAKANAN SIAP MASAK","MEE / BIHUN / KUEY TEOW","BIHUN"
1188,"BIHUN LADNA","sepinggan","MAKANAN SIAP MASAK","MEE / BIHUN / KUEY TEOW","BIHUN"
1189,"BIHUN KUNGFU","sepinggan","MAKANAN SIAP MASAK","MEE / BIHUN / KUEY TEOW","BIHUN"
1198,"AYAM GORENG","seketul","MAKANAN SIAP MASAK","LAUK","AYAM"
1199,"AYAM MASAK MERAH","seketul","MAKANAN SIAP MASAK","LAUK","AYAM"
1200,"AYAM MASAK KICAP","seketul","MAKANAN SIAP MASAK","LAUK","AYAM"
1201,"AYAM MASAK HALIA","seketul","MAKANAN SIAP MASAK","LAUK","AYAM"
1202,"DAGING MASAK MERAH","sepiring","MAKANAN SIAP MASAK","LAUK","DAGING"
1203,"DAGING MASAK KICAP","sepiring","MAKANAN SIAP MASAK","LAUK","DAGING"
1204,"DAGING MASAK HALIA","sepiring","MAKANAN SIAP MASAK","LAUK","DAGING"
1205,"DAGING MASAK PAPRIK","sepiring","MAKANAN SIAP MASAK","LAUK","DAGING"
1206,"SOTONG GORENG","sepiring","MAKANAN SIAP MASAK","LAUK","SOTONG"
1207,"SOTONG MASAK MERAH","sepiring","MAKANAN SIAP MASAK","LAUK","SOTONG"
1208,"SOTONG MASAK KICAP","sepiring","MAKANAN SIAP MASAK","LAUK","SOTONG"
1209,"SOTONG MASAK HALIA","sepiring","MAKANAN SIAP MASAK","LAUK","SOTONG"
1210,"UDANG GORENG","sepiring","MAKANAN SIAP MASAK","LAUK","UDANG"
1211,"UDANG MASAK MERAH","sepiring","MAKANAN SIAP MASAK","LAUK","UDANG"
1212,"UDANG MASAK KICAP","sepiring","MAKANAN SIAP MASAK","LAUK","UDANG"
1213,"UDANG MASAK HALIA","sepiring","MAKANAN SIAP MASAK","LAUK","UDANG"
1214,"SAYUR CAMPUR","sepiring","MAKANAN SIAP MASAK","LAUK","SAYUR"
1215,"SAYUR KAILAN IKAN MASIN","sepiring","MAKANAN SIAP MASAK","LAUK","SAYUR"
1216,"SAYUR KANGKUNG GORENG BELACAN","sepiring","MAKANAN SIAP MASAK","LAUK","SAYUR"
1232,"TELUR MATA KERBAU","sebiji","MAKANAN SIAP MASAK","LAUK","TELUR"
1233,"TELUR DADAR","sebiji","MAKANAN SIAP MASAK","LAUK","TELUR"
1234,"TELUR BISTIK","1 set","MAKANAN SIAP MASAK","LAUK","TELUR"
1235,"TELUR SETENGAH MASAK","sebiji","MAKANAN SIAP MASAK","LAUK","TELUR"
1236,"TELUR REBUS","sebiji","MAKANAN SIAP MASAK","LAUK","TELUR"
1237,"TELUR MASIN","sebiji","MAKANAN SIAP MASAK","LAUK","TELUR"
1238,"SUP AYAM","semangkuk","MAKANAN SIAP MASAK","LAUK","SUP"
1239,"SUP DAGING","semangkuk","MAKANAN SIAP MASAK","LAUK","SUP"
1240,"SUP EKOR","semangkuk","MAKANAN SIAP MASAK","LAUK","SUP"
1241,"SUP CAMPUR","semangkuk","MAKANAN SIAP MASAK","LAUK","SUP"
1242,"TOM YAM CAMPUR","semangkuk","MAKANAN SIAP MASAK","LAUK","TOM YAM"
1243,"TOM YAM AYAM","semangkuk","MAKANAN SIAP MASAK","LAUK","TOM YAM"
1244,"TOM YAM DAGING","semangkuk","MAKANAN SIAP MASAK","LAUK","TOM YAM"
1245,"TOM YAM UDANG","semangkuk","MAKANAN SIAP MASAK","LAUK","TOM YAM"
1246,"TOM YAM SOTONG","semangkuk","MAKANAN SIAP MASAK","LAUK","TOM YAM"
1247,"MAGGI GORENG","sepinggan","MAKANAN SIAP MASAK","LAIN-LAIN","MI SEGERA"
1248,"MAGGI SUP","semangkuk","MAKANAN SIAP MASAK","LAIN-LAIN","MI SEGERA"
1250,"ROTI TELUR","sekeping","MAKANAN SIAP MASAK","LAIN-LAIN","ROTI CANAI"
1252,"KUIH LAPIS","sebiji","MAKANAN SIAP MASAK","LAIN-LAIN","KUIH"
1253,"KUIH SERI MUKA","sebiji","MAKANAN SIAP MASAK","LAIN-LAIN","KUIH"
1254,"PAU KACANG MERAH","sebiji","MAKANAN SIAP MASAK","LAIN-LAIN","PAU"
1255,"PAU AYAM","sebiji","MAKANAN SIAP MASAK","LAIN-LAIN","PAU"
1256,"PAU KAYA","sebiji","MAKANAN SIAP MASAK","LAIN-LAIN","PAU"
1264,"AYAM SOS LEMON","sepiring","MAKANAN SIAP MASAK","LAUK","AYAM"
1265,"SOTONG GORENG ASAM","sepiring","MAKANAN SIAP MASAK","LAUK","SOTONG"
1266,"UDANG BUTTER","sepiring","MAKANAN SIAP MASAK","LAUK","UDANG"
1277,"SUP IKAN","semangkuk","MAKANAN SIAP MASAK","LAUK","SUP"
1278,"SUP SAYUR MASIN","semangkuk","MAKANAN SIAP MASAK","LAUK","SUP"
1279,"PAU DAGING","sebiji","MAKANAN SIAP MASAK","LAIN-LAIN","PAU"
1281,"NASI BRIYANI AYAM","sepinggan","MAKANAN SIAP MASAK","NASI","NASI BRIYANI"
1282,"NASI BRIYANI KAMBING","sepinggan","MAKANAN SIAP MASAK","NASI","NASI BRIYANI"
1284,"NASI BRIYANI BUKHARA","sepinggan","MAKANAN SIAP MASAK","NASI","NASI BRIYANI"
1285,"AYAM MASAK KARI","seketul","MAKANAN SIAP MASAK","LAUK","AYAM"
1289,"SUP TULANG","semangkuk","MAKANAN SIAP MASAK","LAUK","SUP"
1290,"SUP KAMBING","semangkuk","MAKANAN SIAP MASAK","LAUK","SUP"
1291,"ROTI PISANG","sekeping","MAKANAN SIAP MASAK","LAIN-LAIN","ROTI CANAI"
1292,"ROTI BAWANG","sekeping","MAKANAN SIAP MASAK","LAIN-LAIN","ROTI CANAI"
1293,"ROTI BOOM","sekeping","MAKANAN SIAP MASAK","LAIN-LAIN","ROTI CANAI"
1294,"RAWA TOSAI","sekeping","MAKANAN SIAP MASAK","LAIN-LAIN","ROTI CANAI"
1295,"ROTI TISU","sekeping","MAKANAN SIAP MASAK","LAIN-LAIN","ROTI CANAI"
1296,"CAPATI","sekeping","MAKANAN SIAP MASAK","LAIN-LAIN","ROTI CANAI"
1297,"Ayam Tandoori","seketul","MAKANAN SIAP MASAK","LAUK","AYAM"
1298,"ROTI BAKAR","1 set","MAKANAN SIAP MASAK","LAIN-LAIN","ROTI"
1299,"MURTABAK AYAM","sekeping","MAKANAN SIAP MASAK","LAIN-LAIN","MURTABAK"
